統計5-28 暴走族の検挙人員の推移（令和2年～令和6年）,,,,,,,
,,,,,,,
区分　,,年次,令和2,3,4,5,6
道路交通法違反（人）,,,"8,098","6,089","6,280","6,420","5,990"
,うち共同危険行為,,580,533,526,402,365
,うち無免許,,656,615,673,694,738
道路運送車両法違反（人）,,,102,100,95,92,108
合　　計（人）,,,"8,200","6,189","6,375","6,512","6,098"
